,mass,year,lat,lon
31126,896.0,1895.0,-26.68333,-61.08333
31128,19500.0,1887.0,-26.5,-69.5
31333,4500.0,1885.0,51.16667,77.33333
31981,5000.0,1893.0,35.05,-84.23333
31983,7000.0,1841.0,53.35,87.18333
31984,4300.0,1868.0,-34.78333,144.66667
32001,13600.0,1887.0,29.68333,-98.91667
32002,6175.0,1888.0,-17.3,-45.0
32004,600.0,1850.0,40.43333,-80.0
32021,14000.0,1893.0,41.33333,-86.31667
32045,2900.0,1893.0,39.63333,-100.5
32057,6580.0,1885.0,-27.15,-69.91667
32060,32700.0,1839.0,33.25,-83.25
35519,18200.0,1886.0,47.0,7.83333
35813,46500.0,1882.0,24.11667,-104.3
35977,800000.0,1808.0,32.0,-95.0
35979,2750.0,1899.0,40.25,-100.5
35982,20000.0,1895.0,43.86667,-85.51667
36020,3325.0,1900.0,-34.66667,139.28333
36282,44000.0,1852.0,25.33333,-104.66667
36283,86860.0,1892.0,-22.33333,118.0
36405,2700.0,1896.0,14.6,-88.68333
36417,53070.0,1844.0,34.3,-81.4
36421,50.0,1866.0,39.61667,-85.45
36422,13200.0,1863.0,39.8,-105.5
36425,237200.0,1890.0,32.91667,-104.66667
36733,875.0,1869.0,40.91667,-111.66667
36734,3600.0,1850.0,37.95,-85.78333
36735,6920.0,1894.0,42.53333,-122.875
36736,88000.0,1897.0,31.41667,-100.35
36740,5000.0,1882.0,-23.43333,-69.5
36741,36000.0,1887.0,36.0,-119.0
36742,7500.0,1868.0,23.48333,-104.36667
36813,72.0,1887.0,29.5,-98.5
36881,1316000.0,1872.0,19.21667,-98.3
36882,7000000.0,1875.0,-26.21667,-48.6
36885,825000.0,1810.0,5.91667,-73.0
36890,162000.0,1883.0,41.76611,-8.58361
36891,10880.0,1892.0,36.5,137.0
36894,14000.0,1854.0,48.48333,44.81667
37378,21500.0,1850.0,53.4,18.45
37417,10000.0,1867.0,36.76667,-86.16667
37422,102000.0,1847.0,52.26667,15.55
37428,20.0,1900.0,49.75,14.41667
37442,4000.0,1850.0,42.91667,-76.78333
37444,1500.0,1875.0,-24.55,-69.06667
37481,39000.0,1869.0,38.66667,-120.93333
37482,22700.0,1890.0,36.7,137.36667
37613,26000.0,1898.0,-22.9,-69.35
37619,11600.0,1887.0,41.23333,-104.98333
37622,350.7,1883.0,-31.88333,141.2
37624,1500.0,1838.0,54.3,48.4
37630,14180.0,1847.0,18.31667,73.91667
37665,950.0,1838.0,55.0,35.0
37669,5000.0,1839.0,37.13333,-88.4
37671,5000.0,1863.0,36.41667,-80.0
37673,70500.0,1840.0,35.98333,-85.85
37687,2500.0,1893.0,41.65,-86.21667
37705,217000.0,1873.0,58.61667,98.93333
37708,3600.0,1863.0,37.75,-90.5
